PANTONENAME,UNIQUECODE,RED,GREEN,BLUE
PANTONE 100 C,10001,92,-8,65
PANTONE 101 C,10002,92,-9,74
PANTONE 10101 C,10003,85,0,0
PANTONE 10102 C,10004,80,-2,0
PANTONE 10103 C,10005,76,-1,0
PANTONE 10104 C,10006,72,-1,-2
PANTONE 10105 C,10007,71,-1,-1
PANTONE 10106 C,10008,69,-6,27
PANTONE 10107 C,10009,69,-8,37
PANTONE 10108 C,10010,69,-8,46
PANTONE 10109 C,10011,69,-8,54
PANTONE 10110 C,10012,69,-6,63
PANTONE 10111 C,10013,72,-6,72
PANTONE 10112 C,10014,69,-5,17
PANTONE 10113 C,10015,68,-6,30
PANTONE 10114 C,10016,68,-7,39
PANTONE 10115 C,10017,68,-5,47
PANTONE 10116 C,10018,68,-4,56
PANTONE 10117 C,10019,68,-2,64
PANTONE 10118 C,10020,67,-3,29
PANTONE 10119 C,10021,67,-1,38
PANTONE 10120 C,10022,66,1,46
PANTONE 10121 C,10023,65,3,54
PANTONE 10122 C,10024,65,8,61
PANTONE 10123 C,10025,65,12,68
PANTONE 10124 C,10026,67,-2,24
PANTONE 10125 C,10027,65,-2,32
PANTONE 10126 C,10028,63,0,39
PANTONE 10127 C,10029,62,3,44
PANTONE 10128 C,10030,61,8,51
PANTONE 10129 C,10031,60,14,55
PANTONE 10130 C,10032,62,9,21
PANTONE 10131 C,10033,59,13,28
PANTONE 10132 C,10034,57,16,34
PANTONE 10133 C,10035,53,19,39
PANTONE 10134 C,10036,51,22,42
PANTONE 10135 C,10037,48,25,46
PANTONE 10136 C,10038,65,4,12
PANTONE 10137 C,10039,62,9,19
PANTONE 10138 C,10040,58,13,25
PANTONE 10139 C,10041,55,15,31
PANTONE 10140 C,10042,53,19,35
PANTONE 10141 C,10043,49,21,38
PANTONE 10142 C,10044,62,12,24
PANTONE 10143 C,10045,60,17,31
PANTONE 10144 C,10046,58,23,38
PANTONE 10145 C,10047,57,28,45
PANTONE 10146 C,10048,55,33,51
PANTONE 10147 C,10049,54,38,57
PANTONE 10148 C,10050,61,18,14
PANTONE 10149 C,10051,58,24,19
PANTONE 10150 C,10052,55,31,26
PANTONE 10151 C,10053,53,35,33
PANTONE 10152 C,10054,52,41,40
PANTONE 10153 C,10055,51,46,46
PANTONE 10154 C,10056,64,8,6
PANTONE 10155 C,10057,60,15,12
PANTONE 10156 C,10058,56,22,15
PANTONE 10157 C,10059,52,27,20
PANTONE 10158 C,10060,49,33,24
PANTONE 10159 C,10061,47,39,28
PANTONE 10160 C,10062,59,25,0
PANTONE 10161 C,10063,56,32,3
PANTONE 10162 C,10064,53,39,6
PANTONE 10163 C,10065,50,44,12
PANTONE 10164 C,10066,49,48,18
PANTONE 10165 C,10067,48,54,26
PANTONE 10166 C,10068,58,25,-5
PANTONE 10167 C,10069,54,32,-5
PANTONE 10168 C,10070,51,39,-1
PANTONE 10169 C,10071,47,45,0
PANTONE 10170 C,10072,45,50,5
PANTONE 10171 C,10073,43,56,11
PANTONE 10172 C,10074,57,20,-11
PANTONE 10173 C,10075,53,27,-13
PANTONE 10174 C,10076,50,33,-12
PANTONE 10175 C,10077,46,39,-13
PANTONE 10176 C,10078,44,46,-10
PANTONE 10177 C,10079,42,53,-7
PANTONE 10178 C,10080,62,17,-8
PANTONE 10179 C,10081,58,24,-10
PANTONE 10180 C,10082,55,29,-11
PANTONE 10181 C,10083,52,35,-11
PANTONE 10182 C,10084,49,42,-11
PANTONE 10183 C,10085,47,50,-9
PANTONE 10184 C,10086,63,14,-10
PANTONE 10185 C,10087,60,20,-13
PANTONE 10186 C,10088,56,27,-15
PANTONE 10187 C,10089,53,34,-17
PANTONE 10188 C,10090,51,41,-18
PANTONE 10189 C,10091,48,47,-19
PANTONE 10190 C,10092,63,4,-4
PANTONE 10191 C,10093,58,7,-5
PANTONE 10192 C,10094,53,10,-5
PANTONE 10193 C,10095,48,12,-5
PANTONE 10194 C,10096,42,14,-7
PANTONE 10195 C,10097,37,16,-5
PANTONE 10196 C,10098,62,10,-10
PANTONE 10197 C,10099,57,18,-12
PANTONE 10198 C,10100,52,25,-15
PANTONE 10199 C,10101,47,30,-16
PANTONE 102 C,10102,90,-5,87
PANTONE 10200 C,10103,44,37,-17
PANTONE 10201 C,10104,40,41,-16
PANTONE 10202 C,10105,57,16,-14
PANTONE 10203 C,10106,51,22,-16
PANTONE 10204 C,10107,47,25,-17
PANTONE 10205 C,10108,42,29,-19
PANTONE 10206 C,10109,39,33,-20
PANTONE 10207 C,10110,34,37,-21
PANTONE 10208 C,10111,61,12,-12
PANTONE 10209 C,10112,56,19,-17
PANTONE 10210 C,10113,52,23,-20
PANTONE 10211 C,10114,48,29,-24
PANTONE 10212 C,10115,45,33,-26
PANTONE 10213 C,10116,40,38,-30
PANTONE 10214 C,10117,55,14,-19
PANTONE 10215 C,10118,50,18,-26
PANTONE 10216 C,10119,45,21,-31
PANTONE 10217 C,10120,39,26,-36
PANTONE 10218 C,10121,34,30,-41
PANTONE 10219 C,10122,28,34,-45
